Farmers MarketID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFarmers MarketNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1001500,Covina Farmers Market,,,,,,School St. and Citrus Ave.,Covina,LOS ANGELES,California,,,,,,,,,,-117.8900,34.0893,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1001537,Malibu Farmers Market,http://www.malibufarmersmarket.net,,,,,23525 Civic Center Way,Malibu,Los Angeles,California,90265,"Sundays, 10:00am to 3:00pm. ",,,,,,,,-118.6912,34.0347, between Webb Way & Pacific Coast Hwy,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/15/2015
1001858,Norwalk Farmers Market,http://www.farmernet.com,,,,,Alondra & Pioneer,Norwalk,Los Angeles,California,90650,,,,,,,,,-118.0820,33.8877,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1001877,Westchester Farmers Market,http://www.farmernet.com,,,,,Westchester Park,Westchester,Los Angeles,California,90045,,,,,,,,,-118.3940,33.9586,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1001880,Hollywood Media Farmers Market,http://www.farmernet.com,,,,,1100 Block of Cole Ave.,Hollister,Los Angeles,California,95023,,,,,,,,,-121.6070,36.7105,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1001944,Santa Monica Farmers Market,http://www.farmersmarket.santamonica.org,,,,,Santa Monica Airport,Santa Monica,Los Angeles,California,90401,,,,,,,,,-118.4470,34.0172,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1002082,L.A. Central Avenue Farmers Market,http://www.farmernet.com,,,,,43rd St. & Central Ave.,Hollywood,Los Angeles,California,90028,,,,,,,,,-121.4480,38.5706,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1002350,Playa Vista Farmers Market,http://www.playavistaFM.com,www.facebook.com/playavistaFM,https://twitter.com/playavistaFM,,,6500 Seabluff Drive,Playa Vista,Los Angeles,California,90094,01/01/2013 to 06/03/2013,Sat: 9:00 AM-2:00 PM;,06/05/2013 to 10/31/2013,Wed: 4:00 PM-8:00 PM;Sat: 9:00 AM-2:00 PM;,11/02/2013 to 12/31/2013,Sat: 9:00 AM-2:00 PM;,,,-118.4219,33.9726,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,6/24/2013
1002376,Montrose Harvest Market Farmers Market,http://www.farmernet.com,,,,,Honolulu & Ocean Avenue,Santa Barbara,Los Angeles,California,93101,,,,,,,,,-119.7130,34.4222,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1002463,Woodland Hills Farmers Market,http://www.farmernet.com,,,,,6200 Block of Topanga Blvd.,Calabasas,Los Angeles,California,91303,,,,,,,,,-118.6050,34.2086,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1002541,Kaiser Medical Center Panorama City FM,http://www.sfma.net,,,,,13652 Cantara Street,Panorama City,Los Angeles,California,91402,January to December,Wed:9:00 AM - 1:30 PM;,,,,,,,-118.4301,34.2207,Healthcare Institution,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/25/2012
1002890,Wellington Square Farmers Market,http://www.wellingtonsquarefarmersmarket.com,https://www.facebook.com/wellingtonsquarefarmersmarket,https://twitter.com/wsfarmersmarket,,,4394 W Washington Blvd.,Los Angeles,Los Angeles,California,90016,01/01/2014 to 12/28/2014,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.3348,34.0398,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3/13/2014
1003123,Santa Monica Farmers Market - Sunday Main Street,http://www.farmersmarket.smgov.net,https://www.facebook.com/SantaMonicaFarmersMarkets,https://twitter.com/smfms,,www.instagram.com/smfms,2640 Main Street,Santa Monica,Los Angeles,California,90405,01/01/2014 to 12/31/2014,Sun: 9:30 AM-1:00 PM;,,,,,,,-118.4833,34.0023,Private business parking lot,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,3/18/2014
1003144,Lynwood Farmers Market,http://www.farmernet.com,,,,,Martin Luther King & Cesar Chavez Lane,Compton,Los Angeles,California,90221,,,,,,,,,-121.9720,37.2480,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003200,North Hollywood Valley Farmers Market,,,,,,Bellingham & Victory Blvd.,Sherman Oakes,Los Angeles,California,91423,,,,,,,,,-118.3990,34.1864,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003416,Jack New's Farmers Market,,,,,,1920 S Brea Canyon Cut Off,Walnut,LOS ANGELES,California,,,,,,,,,,-117.8670,33.9835,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1003441,L.A. Wilshire Center Farmers Market,http://www.cFarmers Market.com,,,,,Mariposa & Wilshire,Tarzana,Los Angeles,California,91356,,,,,,,,,-119.0160,36.0678,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003444,La Canada Flintridge Farmers Market,http://www.farmernet.com,,,,,Beulah Dr. & Foothill Ave.,La Canada Flintridge,Los Angeles,California,91011,,,,,,,,,-118.1980,34.2035,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003445,Tarana Farmers Market,http://www.farmernet.com,,,,,19130 Ventura Blvd.,Tarzana,Los Angeles,California,91356,,,,,,,,,-118.5490,34.1726,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003446,L.A. Melrose Place Farmers Market,,,,,,Melrose Place & Croft,Los Angeles,Los Angeles,California,90029,,,,,,,,,-118.3740,34.0841,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003447,L.A. Larchmont Village Farmers Market,,,,,,"Larchmont Bldg., Lot #694",Los Angeles,Los Angeles,California,90042,,,,,,,,,-118.3240,34.0834,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003448,Pacific Palisades Farmers Market,,,,,,Swarthmore & Sunset Streets,Pacific Palisades,Los Angeles,California,,,,,,,,,,-118.5350,34.0533,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003449,Calabasas Old Town Farmers Market,,,,,,Calabasas & Mulholland Dr.,Calabasas,Los Angeles,California,91303,,,,,,,,,-118.6360,34.1587,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2013
1003673,Kaiser South Bay Farmers Market,http://www.lacienegafarmersmarket.com,https://www.facebook.com/kaisersouthbayfarmersmarket?ref=hl,https://twitter.com/MNPFarmersMkt,,,25825 S. Vermont Avenue,Harbor City,Los Angeles,California,90710,01/01/2014 to 12/01/2014,Wed: 10:00 AM-3:00 PM;,,,,,,,-118.2937,33.7901,Healthcare Institution,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,4/1/2014
1003705,Huntington Park Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,3401 East Florence Avenue,Huntington Park,Los Angeles,California,90255,01/01/2014 to 12/31/2014,Wed: 9:30 AM-1:30 PM;,,,,,,,-118.2048,33.9730,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/12/2014
1003707,South Gate Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,4855 Tweedy Blvd,South Gate,Los Angeles,California,90280,01/01/2014 to 12/31/2014,Mon: 10:00 AM-3:00 PM;,,,,,,,-118.1847,33.9421,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/12/2014
1003720,Baldwin Park Farmers Market,http://www.farmernet.com,,,,,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,Los Angeles,California,91706,,,,,,,,,-117.9650,34.0856,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1003729,Chatsworth Farmers Market,http://www.farmernet.com,,,,,Devonshire St.,Chatsworth,Los Angeles,California,91311,,,,,,,,,-118.5970,34.2572,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1004295,Wilmington Farmers Market,,,,,,Avalon and L St.,Wilminton,Los Angeles,California,90744,,,,,,,,,-118.2630,33.7867,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1004328,Gardena Hollypark Farmers Market,http://www.cafarmersmarkets.org,,,,,13000 Van Ness,Los Angeles,Los Angeles,California,90047,,,,,,,,,-118.3180,33.9310,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1004329,Gardena Wednesday Farmers Market,http://www.cafarmersmarkets.org,,,,,1670 West 162 at La Salle,Los Angeles,Los Angeles,California,90047,,,,,,,,,-118.3060,33.8841,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1004896,L.A. Harambee Farmers Market,http://www.farmernet.com,,,,,Crenshaw & Slausan,Los Angeles,Los Angeles,California,90010,,,,,,,,,-118.3310,33.9890,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005000,Redondo Beach Farmers Market,http://www.redondo.org/depts/recreation/facilities/farmers_market.asp,,,,,309 Esplanade,Redondo Beach,Los Angeles,California,90277,01/01/2015 to 12/31/2015,Thu: 8:00 AM-1:00 PM;,,,,,,,-118.3895,33.8365,,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/27/2015
1005154,L.A. Chinatown Farmers Market,http://www.farmernet.com,,,,,727 North Hill & Alpine,Los Angeles,Los Angeles,California,90012,,,,,,,,,-118.2400,34.0628,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005208,Central Ave Farmers Market,http://www.farmernet.com,,,,,4301 Central Ave  at 43rd st,Los angeles  California,Los Angeles,California,90011,January to December,Thu:10:00 am - 4:00 pm;,,,,,,,-118.2560,34.0058,Local government building grounds,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,1/14/2012
1005403,Culver City Farmers Market,http://www.farmernet.com,,,,,Main & Culver,Culver City,Los Angeles,California,90232,,,,,,,,,-118.3960,34.0247,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1005576,Sierra Madre Farmers Market,,,,,,S. Baldwin St. & Mariposa St.,,Los Angeles,California,,,,,,,,,,-118.0530,34.1609,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1005577,Duarte,,,,,,E. Huntington Dr. & Buena Vista St.,DUARTE,Los Angeles,California,,,,,,,,,,-117.9780,34.1397,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1005578,Kenneth Village,,,,,,1435 W. Kenneth Rd.,GLENDALE,Los Angeles,California,,,,,,,,,,-118.2810,34.1730,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1005965,Studio City Farmers Market,,,,,,Ventura Place And Radford Avenue,Studio City,Los Angeles,California,,,,,,,,,,-118.3930,34.1434,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1006034,Eagle Rock Farmers Market,,,,,,2100 Merton Ave.,Los Angeles,Los Angeles,California,90065,,,,,,,,,-118.2140,34.1391,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1006035,Diamond Bar Farmers Market,http://www.farmernet.com,,,,,Calvary Chapel Church,Diamond Bar,Los Angeles,California,91765,,,,,,,,,-119.7810,36.8199,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1006334,West Hollywood Thursday Farmers Market,http://www.cafarmersmarkets.org,,,,,647 North San Vicente Blvd.,West Hollywood,Los Angeles,California,90069,"Monday, 9:00am to 2:00pm. ",,,,,,,,-118.3840,34.0821,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/1/2010
1006480,Hermosa Beach Farmers Market,http://www.farmernet.com,,,,,Valley Dr. between 8th St. & 10th St.,Hermosa Beach,Los Angeles,California,90254,January to December,Fri:12:00 PM - 4:00 PM;,,,,,,,-118.3952,33.8620,Local government building grounds,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/15/2012
1006481,"Torrance Farmers Market -Tuesday and saturday- 2200 Crenshaw Blvd Torrance,Ca.90501",,,,,,2200 Crenshaw Blvd,Torrance,Los Angeles,California,90501,January to December,Tue:8:00 AM - 1:00 PM;Sat:8:00 AM - 1:00 PM;,,,,,,,-118.3284,33.8249,Local government building grounds,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,4/26/2012
1006657,East Village Long Beach Farmers Market,,,,,,1St Street and Elm St.,LONG BEACH,Los Angeles,California,,,,,,,,,,-118.1880,33.7681,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1006658,Gigis Farmers Market,,,,,,889 American Way,GLENDALE,Los Angeles,California,,,,,,,,,,-118.2110,34.1251,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1006659,Wilshire Earth Day Festival,,,,,,Serrano St. and Wilshire St.,LOS ANGELES,Los Angeles,California,,,,,,,,,,-118.3070,34.0617,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1007322,West Covina Farmers Market,http://westcovinafarmersmarket.org,,,,,195 S. Glendora Ave.,West Covina,Los Angeles,California,91790,01/01/2014 to 12/31/2014,Sat: 8:00 AM-1:00 PM;,,,,,,,-117.9215,34.0706,Closed-off public street,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,5/20/2014
1008271,East Los Angeles Farmers Market,http://www.velasfarmersmarkets.org,,,,,4848 East Civic Center Way,East Los Angeles ,Los Angeles,California,90022,05/01/2015 to 09/30/2015,Wed: 10:00 AM-3:00 PM;,,,,,,,-118.1686,34.0315,,Y,Y,Y,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/25/2015
1008570,Santa Monica Farmers Market - Saturday Virginia Avenue Park,http://www.smgov.net/Portals/Farmers_Market/,https://www.facebook.com/santamonicafarmersmarkets,https://twitter.com/smfms,,www.instagram.com/smfms,2200 Virginia Avenue,Santa Monica,Los Angeles,California,90404,01/01/2014 to 12/31/2014,Sat: 8:00 AM-1:00 PM;,,,,,,,-118.4677,34.0208,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,3/18/2014
1008720,Temple City Farmers Market ,http://WWW.PASADENAFARMERSMARKET.ORG,https://www.facebook.com/pages/Temple-City-Farmers-Market/117101011699239,https://twitter.com/TempleCityFarmersMarket,,,9701 Las  Tunas Dr,Temple City,Los Angeles,California,91780,01/01/2014 to 12/31/2014,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.0579,34.1077,Other,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,3/14/2014
1008975,Kaiser Medical Center Woodland Hills,,,,,,5601 De Soto Avenue,Woodland Hills,Los Angeles,California,91367,01/02/2014 to 12/18/2014,Thu: 10:00 AM-2:30 PM;,,,,,,,-118.5897,34.1709,Healthcare Institution,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,3/31/2014
1009626,San Gabriel Farmers Market (Thursday Summer Evenings),,,,,,300 W. Wells Street,San Gabriel ,Los Angeles,California,91770,04/03/2014 to 09/25/2014,Thu: 4:00 PM-8:00 PM;,,,,,,,-118.1065,34.0847,Other,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,3/14/2014
1009778,Los Angeles Medical Center Farmers Market,http://www.seela.org/la-medical-center-farmers-market/,https://www.facebook.com/FarmersMarketLAMC,https://twitter.com/lamcfarmers,,instagram: LAMCfarmersmarket,4800 Hollywood Blvd,Hollywood,Los Angeles,California,90027,01/01/2014 to 12/31/2014,Wed: 12:00 PM-6:00 PM;,,,,,,,-118.2950,34.1016,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/4/2014
1009998,Altadena Farmers Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFarmers Market,,http://altadenaFarmers Market.tumblr.com,600 W. Palm Street,Altadena,Los Angeles,California,91001,01/08/2014 to 03/05/2014,Wed: 3:00 PM-7:00 PM;,03/12/2014 to 11/05/2014,Wed: 4:00 PM-8:00 PM;,11/12/2014 to 12/31/2014,Wed: 3:00 PM-7:00 PM;,,,-118.1581,34.2004,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,4/14/2015
1010019,Echo Park Farmers Market,http://seela.org,https://www.facebook.com/pages/Echo-Park-Farmers-Market/313522200882,,,,Logan St. and Sunset Blvd,Los Angeles ,Los Angeles,California,90026,01/01/2015 to 12/31/2015,Fri: 3:00 PM-7:30 PM;,,,,,,,-118.2586,34.0769,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,3/24/2015
1010037,Watts Healthy Farmers Market,http://www.seela.org/,https://www.facebook.com/WattsHealthyFarmersMarket?ref=hl,,,,103rd Street and Central,Los Angeles,Los Angeles,California,90002,01/01/2014 to 12/31/2014,Sat: 10:00 AM-2:00 PM;,,,,,,,-118.2524,33.9435,Local government building grounds,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/24/2014
1010147,Cerritos Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,17870 Park plaza Drive,Cerritos ,Los Angeles,California,90703,,Sat: 8:00 AM-12:00 PM;,,,,,,,-118.0625,33.8693,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/14/2014
1010233,Compton Blue Line Farmers Market ,,,,,,101 E Palmer Street,Compton ,Los Angeles,California,90220,05/29/2014 to 10/30/2014,Thu: 11:00 AM-7:00 PM;,,,,,,,-118.2240,33.8979,Local government building grounds,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,5/26/2014
1010734,East Hollywood Farmers Market,http://thaicdc.org/ourcommunity/east-hollywood-farmers-market/,https://www.facebook.com/EastHollywoodCertifiedFarmersMarket,@EastHollywoodFM,,,5448 Hollywood Boulevard,Los Angeles,Los Angeles,California,90027,01/01/2014 to 12/31/2014,Thu: 3:30 PM-7:30 PM;,,,,,,,-118.3090,34.1015,,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,11/17/2014
1011132,Canoga Park Farmers Market,http://egis3.lacounty.gov/lms/?p=76070,,,,,7248 Owensmouth Ave,Canoga Park,Los Angeles,California,91303,01/03/2015 to 12/26/2015,Sat: 9:00 AM-1:30 PM;,,,,,,,-118.6014,34.2025,,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/7/2015
1011248,Antelope Valley Winery Farmers Market ,http://www.avwinery.com,,,,,42041 20th St. West,Lancaster,Los Angeles,California,93534,05/30/2015 to 11/28/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.1662,34.6470,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,6/17/2015
1011298,Old L.A. Farmers Market,http://oldla.org,Highland Park Old L.A. Farmers Market,,,,North Figueroa & Ave. 58,Los Angeles ,Los Angeles,California,90042,01/01/2015 to 12/31/2015,Tue: 3:00 PM-8:00 PM;,,,,,,,-118.1928,34.1106,,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,7/6/2015
